# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.2 * T
# sensitivity = 0.05
#D            SNR
0.000001    0.000000
0.000002    6.115788
0.000003    11.486832
0.000004    14.402166
0.000005    21.065927
0.000006    29.765039
0.000007    25.186875
0.000008    19.185825
0.000009    23.294170
0.000010    25.111007
0.000015    18.011114
0.000020    20.342887
0.000025    28.397525
0.000030    33.733565
0.000035    26.391996
0.000040    21.666740
0.000045    25.848881
0.000050    32.781895

