# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.95 * T
# sensitivity = 0.05
#D            SNR
0.000001    0.388361
0.000002    8.258359
0.000003    21.320890
0.000004    40.171375
0.000005    60.305759
0.000006    80.897234
0.000007    79.519541
0.000008    74.172690
0.000009    75.219878
0.000010    90.082134
0.000015    57.341033
0.000020    61.726102
0.000025    45.123948
0.000030    43.541086
0.000035    31.530075
0.000040    27.157663
0.000045    32.103970
0.000050    23.474464

