# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.1 * T
# sensitivity = 0.05
#D            SNR
0.000001    0.523701
0.000002    8.457194
0.000003    19.955041
0.000004    23.438279
0.000005    43.562417
0.000006    47.557455
0.000007    48.650705
0.000008    45.673183
0.000009    51.066591
0.000010    54.128497
0.000015    47.980276
0.000020    38.029392
0.000025    46.256463
0.000030    42.036841
0.000035    47.813329
0.000040    39.331632
0.000045    35.668863
0.000050    29.609413

