# SNR(D.sens)
# SNR dla f=1 (czestotliwosc bazowa)
# neuron-akceptor (bierny receptor)
# delay = 0.75 * T
# sensitivity = 0.05
#D            SNR
0.000001    0.254311
0.000002    7.208615
0.000003    11.742363
0.000004    18.450783
0.000005    26.346969
0.000006    28.529230
0.000007    27.781722
0.000008    28.059349
0.000009    27.463822
0.000010    27.612230
0.000015    28.060426
0.000020    27.427355
0.000025    28.602747
0.000030    21.003662
0.000035    24.243131
0.000040    21.209937
0.000045    19.436775
0.000050    16.043877

